,r_pick1,r_pick2,r_pick3,r_pick4,r_pick5,d_pick5,d_pick4,d_pick3,d_pick2,d_pick1,r_ban7,r_ban6,r_ban5,r_ban4,r_ban3,r_ban2,r_ban1,d_ban7,d_ban6,d_ban5,d_ban4,d_ban3,d_ban2,d_ban1,match,tournament
2657,Ember Spirit,Mirana,Brewmaster,Crystal Maiden,Spectre,Puck,Broodmother,Tusk,Shadow Fiend,Treant Protector,Hoodwink,Faceless Void,Centaur Warrunner,Beastmaster,Dragon Knight,Lina,Tiny,Ursa,Phantom Lancer,Sniper,Batrider,Naga Siren,Phoenix,Viper,PSG.LGD vs Knights,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2658,Mars,Mirana,Lich,Tiny,Juggernaut,Luna,Void Spirit,Disruptor,Phoenix,Marci,Faceless Void,Naga Siren,Puck,Lifestealer,Ember Spirit,Treant Protector,Lina,Anti-Mage,Slark,Morphling,Batrider,Ursa,Tusk,Pangolier,PSG.LGD vs EHOME,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2659,Marci,Snapfire,Clockwerk,Drow Ranger,Primal Beast,Winter Wyvern,Monkey King,Death Prophet,Tusk,Phoenix,Puck,Tiny,Brewmaster,Mars,Slark,Ember Spirit,Treant Protector,Storm Spirit,Viper,Nature's Prophet,Morphling,Batrider,Pangolier,Lina,PSG.LGD vs EHOME,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2660,Bane,Pangolier,Centaur Warrunner,Shadow Demon,Troll Warlord,Tusk,Ursa,Disruptor,Rubick,Marci,Primal Beast,Puck,Monkey King,Batrider,Nature's Prophet,Snapfire,Lina,Luna,Templar Assassin,Viper,Slark,Brewmaster,Ember Spirit,Treant Protector,PSG.LGD vs EHOME,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2661,Rubick,Tusk,Treant Protector,Primal Beast,Troll Warlord,Void Spirit,Mars,Mirana,Marci,Lina,Dragon Knight,Puck,Phoenix,Beastmaster,Tiny,Ember Spirit,Broodmother,Nature's Prophet,Spectre,Faceless Void,Batrider,Magnus,Doom,Death Prophet,Team Aster vs Aster.Aries,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2662,Disruptor,Tiny,Batrider,Nature's Prophet,Visage,Ursa,Marci,Tusk,Viper,Rubick,Faceless Void,Spectre,Abaddon,Magnus,Death Prophet,Lina,Doom,Dark Seer,Mars,Lycan,Naga Siren,Beastmaster,Ember Spirit,Broodmother,Team Aster vs Aster.Aries,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2663,Tusk,Treant Protector,Invoker,Silencer,Leshrac,Brewmaster,Sven,Snapfire,Ember Spirit,Lina,Beastmaster,Centaur Warrunner,Undying,Keeper of the Light,Timbersaw,Marci,Primal Beast,Weaver,Faceless Void,Magnus,Broodmother,Viper,Clockwerk,Nature's Prophet,Team Aster vs Dawn Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2664,Crystal Maiden,Tiny,Viper,Ursa,Void Spirit,Zeus,Snapfire,Sniper,Centaur Warrunner,Tusk,Pangolier,Kunkka,Phoenix,Hoodwink,Rubick,Ogre Magi,Nature's Prophet,Death Prophet,Leshrac,Broodmother,Slark,Monkey King,Beastmaster,Lina,Team Aster vs Dawn Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2665,Mars,Mirana,Shadow Demon,Batrider,Terrorblade,Slark,Dawnbreaker,Tusk,Leshrac,Rubick,Naga Siren,Phantom Lancer,Tidehunter,Magnus,Treant Protector,Lina,Doom,Morphling,Anti-Mage,Lifestealer,Phoenix,Viper,Ember Spirit,Broodmother,Aster.Aries vs Invictus Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2666,Marci,Phoenix,Tusk,Shadow Fiend,Naga Siren,Slark,Silencer,Primal Beast,Beastmaster,Rubick,Monkey King,Morphling,Faceless Void,Snapfire,Lifestealer,Ember Spirit,Lina,Viper,Puck,Leshrac,Phantom Assassin,Enchantress,Tiny,Doom,Aster.Aries vs Invictus Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2667,Snapfire,Enigma,Earthshaker,Shadow Fiend,Pudge,Alchemist,Dark Seer,Ember Spirit,Crystal Maiden,Tiny,Ursa,Sniper,Batrider,Naga Siren,Dawnbreaker,Leshrac,Doom,Faceless Void,Lifestealer,Silencer,Viper,Slark,Rubick,Lina,Aster.Aries vs Invictus Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2668,Tiny,Broodmother,Drow Ranger,Silencer,Tusk,Nature's Prophet,Kunkka,Primal Beast,Disruptor,Death Prophet,Slark,Phantom Lancer,Batrider,Spectre,Naga Siren,Magnus,Phoenix,Ember Spirit,Puck,Clockwerk,Faceless Void,Shadow Fiend,Lina,Treant Protector,Xtreme Gaming vs Knights,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2669,Tiny,Sniper,Dawnbreaker,Mirana,Pangolier,Lifestealer,Puck,Visage,Riki,Phoenix,Bloodseeker,Luna,Faceless Void,Spectre,Broodmother,Treant Protector,Rubick,Ember Spirit,Dragon Knight,Primal Beast,Naga Siren,Snapfire,Nature's Prophet,Lina,Xtreme Gaming vs Knights,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2670,Shadow Fiend,Riki,Disruptor,Pangolier,Visage,Leshrac,Vengeful Spirit,Lone Druid,Primal Beast,Death Prophet,Queen of Pain,Ember Spirit,Drow Ranger,Sniper,Naga Siren,Nature's Prophet,Lina,Batrider,Centaur Warrunner,Tidehunter,Broodmother,Puck,Treant Protector,Phoenix,Xtreme Gaming vs Knights,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2671,Keeper of the Light,Pangolier,Nyx Assassin,Morphling,Mars,Templar Assassin,Beastmaster,Snapfire,Mirana,Tiny,Drow Ranger,Spectre,Bane,Broodmother,Bloodseeker,Ember Spirit,Treant Protector,Disruptor,Enchantress,Batrider,Nature's Prophet,Viper,Marci,Lina,Team Aster vs EHOME,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2672,Marci,Rubick,Disruptor,Dragon Knight,Drow Ranger,Legion Commander,Sven,Keeper of the Light,Ember Spirit,Lina,Brewmaster,Mars,Pangolier,Beastmaster,Mirana,Treant Protector,Broodmother,Morphling,Monkey King,Faceless Void,Spectre,Tiny,Viper,Nature's Prophet,Team Aster vs EHOME,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2673,Rubick,Centaur Warrunner,Morphling,Undying,Primal Beast,Enigma,Ursa,Mars,Snapfire,Tiny,Treant Protector,Techies,Templar Assassin,Slark,Monkey King,Shadow Fiend,Broodmother,Viper,Puck,Void Spirit,Pangolier,Ember Spirit,Marci,Lina,PSG.LGD vs Invictus Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2674,Ember Spirit,Phoenix,Brewmaster,Shadow Shaman,Nature's Prophet,Death Prophet,Ursa,Disruptor,Mars,Snapfire,Viper,Beastmaster,Anti-Mage,Morphling,Slark,Shadow Fiend,Broodmother,Faceless Void,Templar Assassin,Rubick,Lifestealer,Luna,Lina,Marci,PSG.LGD vs Invictus Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2675,Marci,Phoenix,Pangolier,Lich,Ursa,Sniper,Treant Protector,Tusk,Beastmaster,Rubick,Anti-Mage,Lifestealer,Morphling,Slark,Troll Warlord,Shadow Fiend,Broodmother,Spectre,Alchemist,Luna,Drow Ranger,Enchantress,Ember Spirit,Lina,PSG.LGD vs Invictus Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2676,Tusk,Nature's Prophet,Centaur Warrunner,Hoodwink,Treant Protector,Timbersaw,Drow Ranger,Rubick,Phoenix,Tiny,Beastmaster,Tidehunter,Ember Spirit,Mars,Batrider,Mirana,Primal Beast,Puck,Death Prophet,Doom,Snapfire,Lifestealer,Shadow Fiend,Lina,Xtreme Gaming vs Dawn Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2677,Rubick,Broodmother,Silencer,Queen of Pain,Troll Warlord,Tidehunter,Kunkka,Snapfire,Clockwerk,Shadow Fiend,Mars,Timbersaw,Bloodseeker,Monkey King,Naga Siren,Tiny,Tusk,Sven,Nature's Prophet,Sniper,Drow Ranger,Morphling,Treant Protector,Lina,Xtreme Gaming vs Dawn Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2678,Tiny,Broodmother,Undying,Drow Ranger,Ember Spirit,Primal Beast,Visage,Earthshaker,Shadow Fiend,Treant Protector,Dragon Knight,Puck,Rubick,Pangolier,Mars,Viper,Riki,Leshrac,Kunkka,Ursa,Phoenix,Batrider,Doom,Lina,Knights vs Aster.Aries,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2679,Rubick,Naga Siren,Dawnbreaker,Crystal Maiden,Dragon Knight,Necrophos,Ursa,Lion,Tusk,Broodmother,Death Prophet,Batrider,Lifestealer,Ember Spirit,Leshrac,Tiny,Doom,Kunkka,Viper,Centaur Warrunner,Pangolier,Mars,Lina,Riki,Knights vs Aster.Aries,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2680,Broodmother,Puck,Hoodwink,Treant Protector,Drow Ranger,Mars,Batrider,Crystal Maiden,Dawnbreaker,Rubick,Ursa,Spectre,Kunkka,Ember Spirit,Dragon Knight,Naga Siren,Tiny,Shadow Fiend,Slark,Phoenix,Tusk,Lifestealer,Lina,Riki,Knights vs Aster.Aries,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2681,Lina,Enchantress,Mirana,Mars,Necrophos,Invoker,Spectre,Tiny,Rubick,Enigma,Queen of Pain,Pangolier,Naga Siren,Puck,Shadow Fiend,Tusk,Primal Beast,Batrider,Viper,Beastmaster,Night Stalker,Ember Spirit,Nature's Prophet,Treant Protector,Knights vs Dawn Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2682,Lina,Sven,Nature's Prophet,Hoodwink,Storm Spirit,Ursa,Batrider,Crystal Maiden,Rubick,Marci,Terrorblade,Bloodseeker,Sniper,Naga Siren,Spectre,Tusk,Primal Beast,Pangolier,Queen of Pain,Mirana,Lycan,Beastmaster,Broodmother,Treant Protector,Knights vs Dawn Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2683,Lina,Undying,Tusk,Weaver,Dragon Knight,Nature's Prophet,Morphling,Shadow Shaman,Phoenix,Magnus,Batrider,Ember Spirit,Faceless Void,Sniper,Disruptor,Rubick,Broodmother,Tidehunter,Axe,Tiny,Brewmaster,Centaur Warrunner,Riki,Marci,PSG.LGD vs Xtreme Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2684,Rubick,Centaur Warrunner,Pangolier,Enchantress,Lone Druid,Doom,Grimstroke,Tiny,Shadow Fiend,Riki,Timbersaw,Enigma,Ember Spirit,Batrider,Mirana,Lina,Broodmother,Spectre,Morphling,Alchemist,Abaddon,Drow Ranger,Phoenix,Marci,PSG.LGD vs Xtreme Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2685,Lina,Brewmaster,Hoodwink,Treant Protector,Tinker,Invoker,Drow Ranger,Undying,Magnus,Rubick,Nature's Prophet,Storm Spirit,Slark,Faceless Void,Morphling,Batrider,Broodmother,Pangolier,Tiny,Phoenix,Puck,Ember Spirit,Riki,Marci,PSG.LGD vs Xtreme Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2686,Nature's Prophet,Tusk,Crystal Maiden,Marci,Slark,Magnus,Phoenix,Ursa,Batrider,Riki,Pangolier,Dawnbreaker,Doom,Beastmaster,Mars,Treant Protector,Broodmother,Rubick,Shadow Demon,Silencer,Omniknight,Queen of Pain,Lina,Viper,Aster.Aries vs EHOME,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2687,Tiny,Batrider,Drow Ranger,Treant Protector,Dawnbreaker,Monkey King,Mars,Disruptor,Pangolier,Rubick,Faceless Void,Lifestealer,Silencer,Queen of Pain,Slark,Lina,Viper,Legion Commander,Beastmaster,Morphling,Ursa,Bloodseeker,Riki,Broodmother,Aster.Aries vs EHOME,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2688,Tiny,Batrider,Phoenix,Snapfire,Spectre,Phantom Assassin,Pangolier,Shadow Demon,Tusk,Death Prophet,Ursa,Lifestealer,Slark,Disruptor,Queen of Pain,Lina,Viper,Faceless Void,Bloodseeker,Magnus,Morphling,Beastmaster,Broodmother,Riki,Aster.Aries vs EHOME,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2689,Broodmother,Mirana,Clockwerk,Shadow Fiend,Storm Spirit,Death Prophet,Morphling,Disruptor,Crystal Maiden,Mars,Kunkka,Puck,Tiny,Queen of Pain,Naga Siren,Rubick,Ember Spirit,Void Spirit,Pangolier,Riki,Batrider,Tusk,Nature's Prophet,Lina,Invictus Gaming vs Team Aster,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2690,Tiny,Enigma,Ursa,Phoenix,Pangolier,Storm Spirit,Drow Ranger,Treant Protector,Magnus,Rubick,Puck,Death Prophet,Batrider,Sniper,Silencer,Mars,Ember Spirit,Void Spirit,Tusk,Viper,Spectre,Morphling,Broodmother,Lina,Invictus Gaming vs Team Aster,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2691,Crystal Maiden,Naga Siren,Pangolier,Rubick,Dragon Knight,Primal Beast,Disruptor,Morphling,Lion,Broodmother,Zeus,Queen of Pain,Batrider,Ember Spirit,Leshrac,Tusk,Treant Protector,Doom,Puck,Mars,Beastmaster,Dawnbreaker,Shadow Fiend,Lina,Knights vs EHOME,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2692,Nature's Prophet,Riki,Ember Spirit,Mirana,Primal Beast,Drow Ranger,Dragon Knight,Crystal Maiden,Enchantress,Marci,Monkey King,Morphling,Spectre,Batrider,Beastmaster,Shadow Fiend,Lina,Brewmaster,Magnus,Naga Siren,Faceless Void,Pangolier,Treant Protector,Broodmother,Knights vs EHOME,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2693,Tiny,Crystal Maiden,Primal Beast,Timbersaw,Phantom Assassin,Drow Ranger,Dark Willow,Tusk,Nature's Prophet,Mirana,Morphling,Ursa,Queen of Pain,Shadow Fiend,Ember Spirit,Disruptor,Lina,Spectre,Naga Siren,Batrider,Enigma,Broodmother,Snapfire,Rubick,Xtreme Gaming vs Invictus Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2694,Rubick,Doom,Undying,Drow Ranger,Kunkka,Monkey King,Chaos Knight,Death Prophet,Tiny,Phoenix,Shadow Fiend,Puck,Nature's Prophet,Mars,Lone Druid,Mirana,Disruptor,Primal Beast,Ember Spirit,Tusk,Batrider,Snapfire,Broodmother,Lina,Xtreme Gaming vs Invictus Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2695,Nature's Prophet,Tusk,Ember Spirit,Phoenix,Enigma,Slark,Treant Protector,Leshrac,Broodmother,Riki,Morphling,Ursa,Viper,Dragon Knight,Shadow Fiend,Batrider,Lina,Mars,Kunkka,Tidehunter,Death Prophet,Naga Siren,Crystal Maiden,Rubick,Aster.Aries vs Dawn Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2696,Treant Protector,Nature's Prophet,Snapfire,Puck,Arc Warden,Troll Warlord,Jakiro,Magnus,Batrider,Riki,Ursa,Slark,Ember Spirit,Terrorblade,Timbersaw,Lina,Broodmother,Doom,Viper,Tidehunter,Beastmaster,Queen of Pain,Tusk,Rubick,Aster.Aries vs Dawn Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2697,Tusk,Death Prophet,Bane,Faceless Void,Kunkka,Doom,Drow Ranger,Treant Protector,Pangolier,Rubick,Viper,Beastmaster,Mars,Morphling,Naga Siren,Broodmother,Lina,Puck,Batrider,Spectre,Ursa,Ember Spirit,Marci,Phoenix,Team Aster vs PSG.LGD,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2698,Death Prophet,Disruptor,Keeper of the Light,Ember Spirit,Phantom Assassin,Anti-Mage,Io,Shadow Demon,Pangolier,Marci,Slark,Ursa,Hoodwink,Enchantress,Nature's Prophet,Phoenix,Lina,Terrorblade,Monkey King,Naga Siren,Morphling,Mars,Rubick,Broodmother,Team Aster vs PSG.LGD,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2699,Marci,Pangolier,Enchantress,Shadow Demon,Lifestealer,Bloodseeker,Dragon Knight,Treant Protector,Magnus,Rubick,Troll Warlord,Monkey King,Ember Spirit,Naga Siren,Morphling,Lina,Broodmother,Spectre,Templar Assassin,Io,Silencer,Ursa,Death Prophet,Phoenix,Team Aster vs PSG.LGD,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2700,Marci,Pangolier,Silencer,Skywrath Mage,Wraith King,Centaur Warrunner,Ursa,Mirana,Ember Spirit,Rubick,Mars,Beastmaster,Morphling,Magnus,Naga Siren,Lina,Broodmother,Slark,Monkey King,Io,Viper,Shadow Demon,Death Prophet,Phoenix,PSG.LGD vs Team Aster,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2701,Death Prophet,Pangolier,Shadow Demon,Disruptor,Lifestealer,Drow Ranger,Keeper of the Light,Void Spirit,Bane,Marci,Templar Assassin,Anti-Mage,Puck,Nature's Prophet,Bloodseeker,Phoenix,Lina,Spectre,Phantom Assassin,Faceless Void,Monkey King,Morphling,Naga Siren,Broodmother,PSG.LGD vs Team Aster,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2702,Broodmother,Lion,Bane,Morphling,Storm Spirit,Techies,Beastmaster,Disruptor,Pangolier,Lina,Tusk,Rubick,Riki,Crystal Maiden,Primal Beast,Marci,Nature's Prophet,Tiny,Puck,Ember Spirit,Shadow Fiend,Bloodseeker,Magnus,Treant Protector,EHOME vs Xtreme Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2703,Rubick,Pangolier,Crystal Maiden,Magnus,Faceless Void,Doom,Morphling,Tiny,Enchantress,Marci,Beastmaster,Viper,Ember Spirit,Shadow Fiend,Bloodseeker,Death Prophet,Treant Protector,Ursa,Drow Ranger,Phoenix,Primal Beast,Disruptor,Nature's Prophet,Lina,EHOME vs Xtreme Gaming,DPC CN 2023 Tour 1: Division I (中国联赛S级) 
2704,Beastmaster,Rubick,Phoenix,Spectre,Dragon Knight,Queen of Pain,Riki,Lina,Hoodwink,Doom,Ember Spirit,Viper,Snapfire,Templar Assassin,Weaver,Monkey King,Enigma,Primal Beast,Tusk,Batrider,Chaos Knight,Naga Siren,Broodmother,Mirana,OG vs Tundra Esports,DPC WEU 2023 Tour 1: Division I 
2705,Ember Spirit,Hoodwink,Timbersaw,Drow Ranger,Elder Titan,Tusk,Dark Willow,Ursa,Crystal Maiden,Broodmother,Tiny,Zeus,Batrider,Outworld Destroyer,Bloodseeker,Mirana,Doom,Tinker,Pangolier,Beastmaster,Templar Assassin,Magnus,Enigma,Monkey King,OG vs Tundra Esports,DPC WEU 2023 Tour 1: Division I 
2706,Treant Protector,Razor,Bane,Ember Spirit,Lycan,Morphling,Nature's Prophet,Clockwerk,Batrider,Rubick,Sniper,Drow Ranger,Tiny,Faceless Void,Beastmaster,Tusk,Broodmother,Ursa,Slark,Invoker,Naga Siren,Queen of Pain,Lina,Doom,Team Liquid vs Team Secret,DPC WEU 2023 Tour 1: Division I 
2707,Treant Protector,Razor,Tusk,Mirana,Leshrac,Tiny,Sniper,Clockwerk,Nature's Prophet,Rubick,Chaos Knight,Bloodseeker,Faceless Void,Morphling,Drow Ranger,Batrider,Broodmother,Invoker,Storm Spirit,Beastmaster,Pangolier,Naga Siren,Lina,Doom,Team Liquid vs Team Secret,DPC WEU 2023 Tour 1: Division I 
2708,Broodmother,Crystal Maiden,Hoodwink,Bloodseeker,Templar Assassin,Brewmaster,Pangolier,Undying,Treant Protector,Lina,Enigma,Viper,Tusk,Centaur Warrunner,Legion Commander,Batrider,Rubick,Puck,Huskar,Ursa,Ember Spirit,Slark,Sniper,Leshrac,Gaimin Gladiators vs Entity,DPC WEU 2023 Tour 1: Division I 
2709,Treant Protector,Broodmother,Pugna,Templar Assassin,Tusk,Pangolier,Mirana,Centaur Warrunner,Legion Commander,Lina,Batrider,Ember Spirit,Hoodwink,Dark Seer,Beastmaster,Sniper,Leshrac,Queen of Pain,Huskar,Terrorblade,Slark,Ursa,Rubick,Clockwerk,Gaimin Gladiators vs Entity,DPC WEU 2023 Tour 1: Division I 
2710,Treant Protector,Enigma,Undying,Batrider,Nature's Prophet,Crystal Maiden,Silencer,Centaur Warrunner,Pangolier,Lina,Queen of Pain,Oracle,Mirana,Dark Seer,Beastmaster,Broodmother,Leshrac,Terrorblade,Ursa,Slark,Huskar,Bloodseeker,Rubick,Clockwerk,Gaimin Gladiators vs Entity,DPC WEU 2023 Tour 1: Division I 
2711,Lina,Clockwerk,Snapfire,Tusk,Tiny,Kunkka,Drow Ranger,Marci,Techies,Primal Beast,Outworld Destroyer,Axe,Bloodseeker,Sniper,Monkey King,Razor,Rubick,Lycan,Centaur Warrunner,Magnus,Enigma,Ember Spirit,Hoodwink,Batrider,Team Secret vs OG,DPC WEU 2023 Tour 1: Division I 
2712,Rubick,Pangolier,Legion Commander,Phoenix,Alchemist,Ursa,Puck,Tusk,Hoodwink,Broodmother,Morphling,Drow Ranger,Bloodseeker,Queen of Pain,Ember Spirit,Beastmaster,Magnus,Templar Assassin,Tiny,Treant Protector,Sniper,Naga Siren,Monkey King,Lina,Team Secret vs OG,DPC WEU 2023 Tour 1: Division I 
2713,Earth Spirit,Leshrac,Phoenix,Chaos Knight,Snapfire,Drow Ranger,Invoker,Disruptor,Broodmother,Treant Protector,Faceless Void,Ursa,Nyx Assassin,Lifestealer,Morphling,Batrider,Lina,Dark Seer,Beastmaster,Undying,Naga Siren,Slark,Rubick,Mirana,Into The Breach vs Entity,DPC WEU 2023 Tour 1: Division I 
2714,Rubick,Undying,Brewmaster,Slark,Outworld Destroyer,Tiny,Primal Beast,Hoodwink,Drow Ranger,Treant Protector,Leshrac,Enigma,Dark Seer,Mirana,Pangolier,Lina,Beastmaster,Invoker,Ember Spirit,Lycan,Lifestealer,Spectre,Batrider,Broodmother,Into The Breach vs Entity,DPC WEU 2023 Tour 1: Division I 
2715,Mars,Rubick,Clockwerk,Nature's Prophet,Dark Seer,Naga Siren,Tiny,Mirana,Death Prophet,Tusk,Faceless Void,Spectre,Phoenix,Chaos Knight,Pangolier,Beastmaster,Doom,Batrider,Viper,Ember Spirit,Monkey King,Bloodseeker,Razor,Io,Nigma Galaxy vs Tundra Esports,DPC WEU 2023 Tour 1: Division I 
2716,Tusk,Lina,Naga Siren,Enigma,Huskar,Arc Warden,Gyrocopter,Clockwerk,Beastmaster,Mirana,Batrider,Outworld Destroyer,Pangolier,Spectre,Rubick,Broodmother,Doom,Timbersaw,Monkey King,Mars,Bloodseeker,Chaos Knight,Io,Razor,Nigma Galaxy vs Tundra Esports,DPC WEU 2023 Tour 1: Division I 
2717,Rubick,Beastmaster,Razor,Centaur Warrunner,Outworld Destroyer,Visage,Spectre,Pangolier,Phoenix,Tusk,Dark Seer,Batrider,Naga Siren,Bloodseeker,Chaos Knight,Broodmother,Doom,Puck,Viper,Ember Spirit,Ursa,Huskar,Io,Lina,Nigma Galaxy vs Tundra Esports,DPC WEU 2023 Tour 1: Division I 
2718,Io,Leshrac,Tiny,Nature's Prophet,Slark,Dawnbreaker,Bane,Death Prophet,Sniper,Clockwerk,Bloodseeker,Monkey King,Rubick,Marci,Ancient Apparition,Lina,Treant Protector,Ursa,Chaos Knight,Riki,Tusk,Centaur Warrunner,Hoodwink,Broodmother,Team Secret vs Gaimin Gladiators,DPC WEU 2023 Tour 1: Division I 
2719,Nyx Assassin,Leshrac,Enchantress,Sven,Mirana,Kunkka,Pudge,Crystal Maiden,Nature's Prophet,Rubick,Tusk,Tiny,Drow Ranger,Pangolier,Clockwerk,Broodmother,Lina,Dark Seer,Death Prophet,Monkey King,Bloodseeker,Batrider,Queen of Pain,Treant Protector,Team Secret vs Gaimin Gladiators,DPC WEU 2023 Tour 1: Division I 
2720,Treant Protector,Rubick,Leshrac,Ursa,Dark Seer,Dark Willow,Crystal Maiden,Chaos Knight,Beastmaster,Tusk,Hoodwink,Pangolier,Phoenix,Naga Siren,Slark,Broodmother,Doom,Batrider,Ember Spirit,Morphling,Tiny,Sniper,Nature's Prophet,Lina,Team Liquid vs Tundra Esports,DPC WEU 2023 Tour 1: Division I 
2721,Phoenix,Tiny,Death Prophet,Kunkka,Faceless Void,Riki,Snapfire,Bloodseeker,Tusk,Rubick,Ember Spirit,Batrider,Drow Ranger,Ursa,Sniper,Broodmother,Lina,Chaos Knight,Wraith King,Spectre,Visage,Naga Siren,Beastmaster,Doom,Team Liquid vs Tundra Esports,DPC WEU 2023 Tour 1: Division I 
2722,Earth Spirit,Phoenix,Lycan,Viper,Ember Spirit,Nature's Prophet,Enchantress,Ursa,Beastmaster,Rubick,Kunkka,Windranger,Timbersaw,Mars,Bloodseeker,Io,Lina,Batrider,Leshrac,Slark,Chaos Knight,Sniper,Mirana,Treant Protector,Nigma Galaxy vs Into The Breach,DPC WEU 2023 Tour 1: Division I 
2723,Mars,Rubick,Tusk,Templar Assassin,Underlord,Phantom Lancer,Mirana,Techies,Ember Spirit,Broodmother,Naga Siren,Pudge,Earth Spirit,Phoenix,Riki,Treant Protector,Lina,Legion Commander,Dark Seer,Batrider,Slark,Huskar,Timbersaw,Io,Nigma Galaxy vs Into The Breach,DPC WEU 2023 Tour 1: Division I 
2724,Lina,Tusk,Elder Titan,Death Prophet,Storm Spirit,Zeus,Pudge,Crystal Maiden,Nature's Prophet,Rubick,Invoker,Pangolier,Clockwerk,Slark,Sniper,Broodmother,Leshrac,Kunkka,Morphling,Ember Spirit,Puck,Batrider,Treant Protector,Hoodwink,OG vs Gaimin Gladiators,DPC WEU 2023 Tour 1: Division I 
2725,Death Prophet,Naga Siren,Disruptor,Treant Protector,Snapfire,Ursa,Ember Spirit,Crystal Maiden,Mirana,Broodmother,Lifestealer,Bloodseeker,Sniper,Pudge,Drow Ranger,Rubick,Leshrac,Kunkka,Enigma,Batrider,Tusk,Pangolier,Hoodwink,Lina,OG vs Gaimin Gladiators,DPC WEU 2023 Tour 1: Division I 
2726,Broodmother,Snapfire,Spirit Breaker,Zeus,Drow Ranger,Dark Seer,Outworld Destroyer,Riki,Slark,Undying,Visage,Brewmaster,Enigma,Batrider,Pangolier,Treant Protector,Lina,Bloodseeker,Nature's Prophet,Disruptor,Techies,Leshrac,Tusk,Rubick,Team Liquid vs Entity,DPC WEU 2023 Tour 1: Division I 
2727,Tusk,Nature's Prophet,Mirana,Doom,Disruptor,Beastmaster,Terrorblade,Tiny,Pugna,Clockwerk,Enigma,Underlord,Pangolier,Naga Siren,Batrider,Treant Protector,Lina,Invoker,Zeus,Slark,Sniper,Snapfire,Broodmother,Rubick,Team Liquid vs Entity,DPC WEU 2023 Tour 1: Division I 
2728,Doom,Mirana,Clockwerk,Pangolier,Lifestealer,Snapfire,Batrider,Nature's Prophet,Rubick,Treant Protector,Centaur Warrunner,Bloodseeker,Leshrac,Sniper,Drow Ranger,Broodmother,Lina,Ursa,Slark,Naga Siren,Spectre,Dark Seer,Beastmaster,Phoenix,Tundra Esports vs Into The Breach,DPC WEU 2023 Tour 1: Division I 
2729,Earth Spirit,Phoenix,Terrorblade,Tiny,Enigma,Faceless Void,Riki,Zeus,Broodmother,Rubick,Bloodseeker,Ursa,Naga Siren,Batrider,Leshrac,Tusk,Lina,Beastmaster,Viper,Pangolier,Chaos Knight,Slark,Nature's Prophet,Treant Protector,Tundra Esports vs Into The Breach,DPC WEU 2023 Tour 1: Division I 
